Date,diff
2014-10,7914
2014-10,-10125
2014-10,-6617
2014-10,9911
2014-10,3782
2014-10,-24308
2014-10,4484
2014-10,18136
2014-10,-5220
2014-10,-4725
2014-10,8831
2014-10,4521
2014-10,-3485
2014-10,1714
2014-10,-3871
2014-11,-24048
2014-11,8991
2014-11,13860
2014-11,5022
2014-11,-848
2014-11,-19882
2014-11,14171
2014-11,-8681
2014-11,853
2014-11,10391
2014-11,1696
2014-11,-1482
2014-11,-8032
2014-11,654
2014-11,-8049
2014-11,-859
2014-11,-5600
2014-11,9492
2014-11,-225
2014-11,4471
2014-11,-3100
2014-11,-5744
2014-11,3174
2014-11,7995
2014-11,2882
2014-11,-23825
2014-11,267
2014-11,4826
2014-11,-183
2014-11,4638
2014-12,6786
2014-12,-3437
2014-12,-1883
2014-12,8364
2014-12,-6153
2014-12,-12802
2014-12,6917
2014-12,5611
2014-12,-9693
2014-12,4154
2014-12,8364
2014-12,-447
2014-12,-5633
2014-12,-505
2014-12,8051
2014-12,-2653
2014-12,3697
2014-12,-1671
2014-12,-1983
2014-12,-8068
2014-12,-1046
2014-12,5267
2014-12,-4444
2014-12,-5689
2014-12,638
2014-12,5421
2014-12,353
2014-12,-2409
2014-12,6044
2014-12,-1486
2014-12,-2827
2015-01,-4658
2015-01,6579
2015-01,-7537
2015-01,3675
2015-01,7283
2015-01,-6309
2015-01,1202
2015-01,-908
2015-01,-1146
2015-01,-1805
2015-01,1378
2015-01,1237
2015-01,4693
2015-01,262
2015-01,1067
2015-01,-404
2015-01,-6816
2015-01,-6205
2015-01,9875
2015-01,5702
2015-01,-881
2015-01,701
2015-01,-355
2015-01,-11805
2015-01,4960
2015-01,-5698
2015-01,-3132
2015-01,4818
2015-01,3622
2015-01,98
2015-01,-4191
2015-02,1462
2015-02,-5528
2015-02,3757
2015-02,4411
2015-02,123
2015-02,-643
2015-02,-1988
2015-02,-166
2015-02,-1463
2015-02,5572
2015-02,1164
2015-02,198
2015-02,-4056
2015-02,-3471
2015-02,-2287
2015-02,1663
2015-02,789
2015-02,4712
2015-02,-1516
2015-02,-1660
2015-02,-3372
2015-02,1201
2015-02,3689
2015-02,140
2015-02,3574
2015-02,-1010
2015-02,-186
2015-02,-4025
2015-03,-3667
2015-03,4850
2015-03,-841
2015-03,1087
2015-03,-6444
2015-03,4132
2015-03,302
2015-03,2456
2015-03,7654
2015-03,-3285
2015-03,8648
2015-03,-2482
2015-03,-1396
2015-03,-13548
2015-03,5374
2015-03,8800
2015-03,-2189
2015-03,-1237
2015-03,1649
2015-03,-7913
2015-03,1450
2015-03,402
2015-03,4031
2015-03,2863
2015-03,-1681
2015-03,342
2015-03,-760
2015-03,-14178
2015-03,9330
2015-03,8665
2015-03,-4051
2015-04,6367
2015-04,4780
2015-04,-10368
2015-04,-440
2015-04,-576
2015-04,10540
2015-04,-7862
2015-04,1583
2015-04,-1500
2015-04,-75
2015-04,2803
2015-04,1400
2015-04,5129
2015-04,-2528
2015-04,5732
2015-04,-911
2015-04,-3109
2015-04,4860
2015-04,-7580
2015-04,-11364
2015-04,14977
2015-04,-3164
2015-04,-7
2015-04,-1281
2015-04,358
2015-04,645
2015-04,4049
2015-04,4824
2015-04,1946
2015-04,-2671
2015-05,-1411
2015-05,-2050
2015-05,2151
2015-05,4669
2015-05,875
2015-05,-3202
2015-05,4974
2015-05,-556
2015-05,-10393
2015-05,2149
2015-05,6106
2015-05,3118
2015-05,-2024
2015-05,8267
2015-05,-6742
2015-05,-11545
2015-05,7864
2015-05,-479
2015-05,2745
2015-05,-252
2015-05,-2944
2015-05,822
2015-05,-7913
2015-05,1415
2015-05,3236
2015-05,7646
2015-05,-2330
2015-05,2339
2015-05,1888
